지역명,시군구명,보훈대상자 이용률,보훈대상자수,고령자수,병원 이용자수 평균,보훈병원 유무,광역시도명_x,병원수,평균진료과수,광역시도명_y,대중교통시간_분
서울특별시,성북구,,6365,5129,336.9166666666667,0,서울특별시,6.0,7.0,서울특별시,22.0
서울특별시,송파구,,10404,8266,400.25,0,서울특별시,5.0,3.0,서울특별시,14.0
서울특별시,양천구,,6157,4900,473.25,0,서울특별시,4.0,6.0,서울특별시,158.75
서울특별시,영등포구,,6503,4821,884.0833333333334,0,서울특별시,6.0,4.0,서울특별시,14.83333333333333
서울특별시,용산구,,3467,2681,127.4166666666667,0,서울특별시,3.0,6.0,서울특별시,15.0
서울특별시,은평구,,7438,5923,278.8333333333333,0,서울특별시,5.0,7.0,서울특별시,15.2
서울특별시,종로구,,2263,1825,1897.916666666667,0,서울특별시,3.0,9.0,서울특별시,28.5
서울특별시,중구(서울),,1910,1560,163.0,0,서울특별시,3.0,6.0,서울특별시,12.0
서울특별시,중랑구,,5734,4735,410.0,0,서울특별시,6.0,5.0,서울특별시,16.66666666666667
세종특별자치시,세종특별자치시,,6201,3398,213.5,0,,,,,
울산광역시,남구(울산),,4184,3351,1627.333333333333,0,울산광역시,4.0,11.0,울산광역시,17.75
울산광역시,동구(울산),,2144,1721,89.83333333333333,0,울산광역시,4.0,3.0,울산광역시,26.75
울산광역시,북구(울산),,2426,1756,264.0833333333333,0,울산광역시,2.0,11.0,울산광역시,52.0
울산광역시,울주군(울산),,3888,3159,222.5,0,울산광역시,4.0,9.0,울산광역시,134.5
울산광역시,중구(울산),,3248,2672,168.0,0,울산광역시,3.0,6.0,울산광역시,22.5
인천광역시,강화군(인천),,2342,2081,123.5833333333333,0,인천광역시,2.0,12.0,인천광역시,24.5
인천광역시,계양구,,3829,2918,459.4166666666667,0,인천광역시,3.0,11.0,인천광역시,16.66666666666667
인천광역시,남동구,,7565,5945,82.0,0,인천광역시,5.0,9.0,인천광역시,30.0
인천광역시,동구(인천),,1153,994,731.5,0,인천광역시,2.0,13.0,인천광역시,25.5
인천광역시,미추홀구,,6690,5369,773.9166666666666,1,인천광역시,4.0,11.0,인천광역시,37.66666666666666
인천광역시,부평구,,7475,5771,711.6666666666666,0,인천광역시,4.0,8.0,인천광역시,15.25
인천광역시,서구(인천),,7632,5130,13.41666666666667,0,인천광역시,3.0,4.0,인천광역시,26.66666666666667
인천광역시,연수구,,4568,3197,31.91666666666667,0,인천광역시,5.0,5.0,인천광역시,31.4
인천광역시,옹진군(인천),,546,412,11.08333333333333,0,인천광역시,2.0,9.0,인천광역시,144.0
인천광역시,중구(인천),,2623,1820,16.16666666666667,0,인천광역시,2.0,5.0,인천광역시,112.0
전라남도,강진군,,850,748,103.1818181818182,0,전라남도,3.0,7.0,전라남도,17.0
전라남도,고흥군,,1761,1576,152.3636363636364,0,전라남도,4.0,7.0,전라남도,41.75
전라남도,곡성군,,789,674,38.81818181818182,0,전라남도,2.0,9.0,전라남도,13.0
전라남도,광양시,,2047,1472,176.3636363636364,0,전라남도,4.0,6.0,전라남도,49.25
전라남도,구례군,,741,648,74.27272727272727,0,전라남도,3.0,9.0,전라남도,25.33333333333333
전라남도,나주시,,2534,1957,235.5454545454545,0,전라남도,4.0,9.0,전라남도,53.75
전라남도,담양군,,1274,1068,60.54545454545455,0,전라남도,2.0,7.0,전라남도,72.5
전라남도,목포시,,3808,3025,736.3636363636364,0,전라남도,7.0,6.0,전라남도,28.85714285714286
전라남도,무안군,,1706,1287,185.0909090909091,0,전라남도,5.0,8.0,전라남도,101.2
전라남도,보성군,,1112,970,99.63636363636364,0,전라남도,3.0,7.0,전라남도,48.33333333333334
전라남도,순천시,,4457,3414,994.818181818182,0,전라남도,8.0,10.0,전라남도,40.33333333333334
전라남도,신안군,,839,710,33.45454545454545,0,전라남도,4.0,8.0,전라남도,124.5
전라남도,여수시,,4486,3750,591.6363636363636,0,전라남도,7.0,6.0,전라남도,72.33333333333333
전라남도,영광군,,1182,949,157.1818181818182,0,전라남도,3.0,9.0,전라남도,23.66666666666667
전라남도,영암군,,1132,941,67.54545454545455,0,전라남도,4.0,5.0,전라남도,48.0
전라남도,완도군,,1100,978,74.63636363636364,0,전라남도,7.0,7.0,전라남도,16.5
전라남도,장성군,,1367,1038,45.0,0,전라남도,2.0,7.0,전라남도,13.5
전라남도,장흥군,,964,838,97.45454545454544,0,전라남도,3.0,9.0,전라남도,33.66666666666666
전라남도,진도군,,723,642,53.45454545454545,0,전라남도,2.0,4.0,전라남도,16.0
전라남도,함평군,,783,644,40.90909090909091,0,전라남도,2.0,3.0,전라남도,7.5
전라남도,해남군,,1806,1558,259.1818181818182,0,전라남도,5.0,6.0,전라남도,24.0
전라남도,화순군,,1500,1268,119.4545454545455,0,전라남도,5.0,6.0,전라남도,13.4
전북특별자치도,고창군,,1323,1134,109.4545454545455,0,전북특별자치도,4.0,7.0,전북특별자치도,16.75
전북특별자치도,군산시,,4818,3859,781.4545454545455,0,전북특별자치도,4.0,10.0,전북특별자치도,10.75
전북특별자치도,김제시,,1918,1652,146.0,0,전북특별자치도,4.0,4.0,전북특별자치도,89.75
전북특별자치도,남원시,,1462,1255,161.8181818181818,0,전북특별자치도,4.0,8.0,전북특별자치도,103.0
전북특별자치도,무주군,,674,564,31.90909090909091,0,전북특별자치도,2.0,5.0,전북특별자치도,27.0
전북특별자치도,부안군,,1188,1017,82.18181818181819,0,전북특별자치도,3.0,5.0,전북특별자치도,22.66666666666667
전북특별자치도,순창군,,694,602,33.27272727272727,0,전북특별자치도,4.0,5.0,전북특별자치도,16.25
전북특별자치도,완주군,,2055,1582,86.9090909090909,0,전북특별자치도,5.0,5.0,전북특별자치도,61.4
전북특별자치도,익산시,,4463,3524,594.9090909090909,0,전북특별자치도,5.0,7.0,전북특별자치도,51.6
전북특별자치도,임실군,,696,606,16.45454545454545,0,전북특별자치도,3.0,4.0,전북특별자치도,18.0
전북특별자치도,장수군,,556,476,21.0,0,전북특별자치도,2.0,6.0,전북특별자치도,51.5
전북특별자치도,전주시,,9646,7421,1716.909090909091,0,전북특별자치도,7.0,10.0,전북특별자치도,37.42857142857143
전북특별자치도,정읍시,,2300,1940,228.7272727272727,0,전북특별자치도,2.0,11.0,전북특별자치도,24.5
전북특별자치도,진안군,,754,660,65.27272727272727,0,전북특별자치도,3.0,5.0,전북특별자치도,16.33333333333333
제주특별자치도,서귀포시,,3893,3200,218.6666666666667,0,제주특별자치도,9.0,8.0,제주특별자치도,67.375
제주특별자치도,제주시,,8520,6686,840.0,0,제주특별자치도,9.0,9.0,제주특별자치도,57.77777777777778
충청남도,계룡시,,3359,1570,58.2,0,충청남도,1.0,7.0,충청남도,24.0
충청남도,공주시,,2123,1762,151.0833333333333,0,충청남도,3.0,11.0,충청남도,35.5
충청남도,금산군(충남),,1223,1042,82.58333333333333,0,,,,,
충청남도,논산시,,2997,2326,304.3333333333333,0,충청남도,3.0,10.0,충청남도,43.0
충청남도,당진시,,2346,1920,147.8333333333333,0,충청남도,2.0,8.0,충청남도,14.0
충청남도,보령시,,1864,1575,145.0833333333333,0,충청남도,3.0,9.0,충청남도,54.66666666666666
충청남도,부여군,,1322,1141,62.08333333333334,0,충청남도,3.0,7.0,충청남도,5.666666666666667
충청남도,서산시,,2940,2217,309.5,0,충청남도,2.0,17.0,충청남도,23.0
충청남도,서천군,,1331,1174,100.3333333333333,0,충청남도,2.0,7.0,충청남도,16.5
충청남도,아산시,,3918,2868,355.1666666666667,0,충청남도,3.0,20.0,충청남도,30.66666666666667
충청남도,예산군,,1580,1318,93.5,0,충청남도,2.0,10.0,충청남도,42.0
충청남도,천안시,,7110,5127,453.5833333333333,0,충청남도,5.0,9.0,충청남도,49.8
충청남도,청양군,,638,547,35.5,0,충청남도,2.0,9.0,충청남도,11.5
충청남도,태안군,,1379,1158,100.9166666666667,0,충청남도,3.0,7.0,충청남도,23.66666666666667
충청남도,홍성군,,1721,1380,278.6666666666667,0,충청남도,3.0,11.0,충청남도,64.0
충청북도,괴산군,,1017,846,65.75,0,충청북도,2.0,6.0,충청북도,8.0
충청북도,단양군,,671,557,,0,충청북도,1.0,8.0,충청북도,15.0
충청북도,보은군,,922,783,58.58333333333334,0,충청북도,2.0,2.0,충청북도,20.5
충청북도,영동군,,1249,1058,78.75,0,충청북도,4.0,7.0,충청북도,18.5
충청북도,옥천군,,1233,1029,78.08333333333333,0,충청북도,2.0,8.0,충청북도,25.5
충청북도,음성군,,1551,1209,27.0,0,충청북도,3.0,5.0,충청북도,89.33333333333333
충청북도,제천시,,2495,2061,322.5,0,충청북도,4.0,6.0,충청북도,32.75
충청북도,증평군,,795,544,15.58333333333333,0,충청북도,1.0,5.0,충청북도,12.0
충청북도,진천군,,1151,865,74.75,0,충청북도,2.0,9.0,충청북도,8.0
충청북도,청주시,,12726,9091,944.5833333333334,0,충청북도,9.0,7.0,충청북도,28.55555555555556
충청북도,충주시,,4160,3068,360.3333333333333,0,충청북도,4.0,11.0,충청북도,28.75
