기준년월,지역명,읍면동명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,세종특별자치시,나성동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,나성동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,나성동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,나성동,18,순직·공상공무원,순직공무원,1,0,1
2025-03,세종특별자치시,나성동,19,순직·공상공무원,공상공무원,2,0,2
2025-03,세종특별자치시,나성동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,나성동,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,나성동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,나성동,23,지원대상자,지원공상군경,1,1,0
2025-03,세종특별자치시,나성동,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,나성동,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,나성동,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,나성동,27,보훈보상대상자,재해부상군경,2,2,0
2025-03,세종특별자치시,나성동,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,세종특별자치시,나성동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,나성동,30,참전유공자,6·25전쟁,0,0,0
2025-03,세종특별자치시,나성동,31,참전유공자,월남전쟁,8,8,0
2025-03,세종특별자치시,나성동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,나성동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,5,5,0
2025-03,세종특별자치시,나성동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,세종특별자치시,나성동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,나성동,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,세종특별자치시,나성동,37,5.18민주유공자,5·18희생자,0,0,0
